group,config,embedding,repeat,status,condition_number,pushforward,k,n_samples,theiler_w,noise_level,E_star_k,CondVar,PredErr,MeanDisp,NeighborDisp,median_rk,q90_rk,mean_rk,n_queries,not_enough_queries
baseline,baseline,x_z_z,4,ok,281.2859780300304,20,50,5000,30,0.0,12.084523722753268,5015.329313449708,12.604661885248559,12.937026676317958,17.152527021727245,0.06877699577488697,7.498732414023936,6.984679017876548,5000,0
baseline,baseline,x_z_z,5,ok,281.2859780300304,20,50,5000,30,0.0,11.381640195646035,4938.802074151087,11.197073579320039,12.183756937127074,16.202145839949697,0.07202886297355192,6.796620345534865,6.335990164004307,5000,0
baseline,baseline,x_z_z,6,ok,281.2859780300304,20,50,5000,30,0.0,12.420487080328792,5628.238782443742,13.732093448531982,13.386366797029664,17.677063515330182,0.0700555296420024,8.123601331027837,7.058043796706974,5000,0
baseline,baseline,x_z_z,7,ok,281.2859780300304,20,50,5000,30,0.0,12.086038795777494,5249.955663830019,12.293063953298866,12.99216338129643,17.171772282435214,0.06814216525201883,8.19980548961256,6.978675876690101,5000,0
baseline,baseline,x_z_z,8,ok,281.2859780300304,20,50,5000,30,0.0,12.963979347808753,5769.171121996393,13.401757739899933,14.04601816485207,18.45339566898486,0.07132401614230408,8.50525871369654,7.596662434531656,5000,0
baseline,baseline,x_z_z,9,ok,281.2859780300304,20,50,5000,30,0.0,12.041902135423891,5038.359481195847,11.743407526305647,12.938158249520693,17.16461373849107,0.07099303188549554,8.381895968873481,7.045888669235817,5000,0
baseline,baseline,x_z_x,0,ok,64.42712473872164,20,50,5000,30,0.0,4.919833336555325,402.86744095352014,4.980379915717469,5.067130684210587,5.910569368265031,0.06317747037044263,0.9528068187354317,0.5513081693491526,5000,0
baseline,baseline,x_z_x,1,ok,64.42712473872164,20,50,5000,30,0.0,4.694093403310155,390.18852617290366,4.6382619895165975,4.836250339005918,5.622222676117023,0.061239042535805546,0.9121086606258533,0.5471487053020765,5000,0
baseline,baseline,x_z_x,2,ok,64.42712473872164,20,50,5000,30,0.0,4.988608218371739,414.93036860213374,5.013363021510841,5.1405595821194465,5.975826169551613,0.06384552091562964,0.9463265029101634,0.5575369841122358,5000,0
baseline,baseline,x_z_x,3,ok,64.42712473872164,20,50,5000,30,0.0,4.5849271792227455,380.57925650298523,4.7219003025028305,4.7314629814162785,5.510101057285957,0.06252792857983218,0.8844481015422533,0.5300508581938055,5000,0
baseline,baseline,x_z_x,4,ok,64.42712473872164,20,50,5000,30,0.0,4.555829692289454,366.9450893596785,4.669184278653703,4.676058441712909,5.454607599276906,0.062315835069073094,0.8613802272671809,0.5293203298735228,5000,0
baseline,baseline,x_z_x,5,ok,64.42712473872164,20,50,5000,30,0.0,4.4113598153711635,365.9014492917134,4.485643830640899,4.544317071535722,5.278242994564533,0.06374457746845372,0.846022330963146,0.5220422886095035,5000,0
baseline,baseline,x_z_x,6,ok,64.42712473872164,20,50,5000,30,0.0,4.596526598597281,373.92423848884243,4.535095888623124,4.72820462453317,5.522401562278092,0.06275188552858466,0.9030469941337269,0.543318491228162,5000,0
baseline,baseline,x_z_x,7,ok,64.42712473872164,20,50,5000,30,0.0,4.796318767918635,398.24037925922016,4.797139911210196,4.940429637120249,5.7434615664645285,0.06235472793273404,0.9236302195768783,0.5390859372754477,5000,0
baseline,baseline,x_z_x,8,ok,64.42712473872164,20,50,5000,30,0.0,4.827365840225215,398.0479166587445,4.7332182949112935,4.972469390208208,5.798857490433296,0.06352301966471317,0.966496563123898,0.5722464194249747,5000,0
baseline,baseline,x_z_x,9,ok,64.42712473872164,20,50,5000,30,0.0,4.645775951812035,378.00648248649446,4.691524185642356,4.779821786164682,5.57565291787187,0.06246513284529041,0.9262324756885008,0.5450590435047649,5000,0
baseline,baseline,y_plus_z,0,ok,13.90120303609631,20,50,5000,30,0.0,0.7446292601050586,20.078480855220736,0.5872417817132294,0.7888866570184291,1.0480225476189537,0.06325573362429177,0.42073762032313444,0.48493891359428365,5000,0
